channel_id,channel_name,inclination,azimuth,x,y,z,sph_theta,sph_phi,ref_10x20plus,ref_10x20
101,AF3,-74,-65,-36,76,24,25,16,0,0
102,AF4,74,65,36,76,24,-25,16,0,0
103,AF7,-92,-54,-51,71,-3,36,-2,1,0
104,AF8,92,54,51,71,-3,-36,-2,1,0
105,AFz,69,90,0,82,31,0,21,0,0
106,C1,-23,0,-34,0,81,90,67,0,0
107,C2,23,0,34,0,81,-90,67,0,0
108,C3,-46,0,-63,0,61,90,44,1,1
109,C4,46,0,63,0,61,-90,44,1,1
110,C5,-69,0,-82,0,31,90,21,0,0
111,C6,69,0,82,0,31,-90,21,0,0
112,CP1,-32,45,-33,-33,74,135,58,0,0
113,CP2,32,-45,33,-33,74,-135,58,0,0
114,CP3,-50,28,-59,-31,56,118,40,0,0
115,CP4,50,-28,59,-31,56,-118,40,0,0
116,CP5,-72,21,-78,-30,27,111,18,1,0
117,CP6,72,-21,78,-30,27,-111,18,1,0
118,CPz,23,-90,0,-34,81,-180,67,0,0
119,Cz,0,0,0,0,88,-90,90,1,1
120,F1,-50,-68,-25,62,56,22,40,0,0
121,F2,50,68,25,62,56,-22,40,0,0
122,F3,-60,-51,-48,59,44,39,30,1,1
123,F4,60,51,48,59,44,-39,30,1,1
124,F5,-75,-41,-64,55,23,49,15,0,0
125,F6,75,41,64,55,23,-49,15,0,0
126,F7,-92,-36,-71,51,-3,54,-2,1,1
127,F8,92,36,71,51,-3,-54,-2,1,1
128,FC1,-32,-45,-33,33,74,45,58,0,0
129,FC2,32,45,33,33,74,-45,58,0,0
130,FC3,-50,-28,-59,31,56,62,40,0,0
131,FC4,50,28,59,31,56,-62,40,0,0
132,FC5,-72,-21,-78,30,27,69,18,1,0
133,FC6,72,21,78,30,27,-69,18,1,0
134,FCz,23,90,0,34,81,0,67,0,0
135,Fp1,-92,-72,-27,83,-3,18,-2,1,1
136,Fp2,92,72,27,83,-3,-18,-2,1,1
137,Fpz,92,90,0,87,-3,0,-2,1,1
138,FT7,-92,-18,-83,27,-3,72,-2,0,0
139,FT8,92,18,83,27,-3,-72,-2,0,0
140,Fz,46,90,0,63,61,0,44,1,1
141,O1,-92,72,-27,-83,-3,162,-2,1,1
142,O2,92,-72,27,-83,-3,-162,-2,1,1
143,Oz,92,-90,0,-87,-3,-180,-2,1,1
144,P1,-50,68,-25,-62,56,158,40,0,0
145,P10,115,-36,64,-47,-37,-126,-25,0,0
146,P2,50,-68,25,-62,56,-158,40,0,0
147,P3,-60,51,-48,-59,44,141,30,1,1
148,P4,60,-51,48,-59,44,-141,30,1,1
149,P5,-75,41,-64,-55,23,131,15,0,0
150,P6,75,-41,64,-55,23,-131,15,0,0
151,P7,-92,36,-71,-51,-3,126,-2,1,1
152,P8,92,-36,71,-51,-3,-126,-2,1,1
153,P9,-115,36,-64,-47,-37,126,-25,0,0
154,PO3,-74,65,-36,-76,24,155,16,0,0
155,PO4,74,-65,36,-76,24,-155,16,0,0
156,PO7,-92,54,-51,-71,-3,144,-2,0,0
157,PO8,92,-54,51,-71,-3,-144,-2,0,0
158,POz,69,-90,0,-82,31,-180,21,0,0
159,Pz,46,-90,0,-63,61,-180,44,1,1
160,T7,-92,0,-87,0,-3,90,-2,1,1
161,T8,92,0,87,0,-3,-90,-2,1,1
162,TP7,-92,18,-83,-27,-3,108,-2,0,0
163,TP8,92,-18,83,-27,-3,-108,-2,0,0
